Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
11/2/15,walking,walking,2015-11-02T08:08:45-05:00,2015-11-02T08:12:56-05:00,251,0.180,386,0
11/2/15,walking,walking,2015-11-02T09:16:46-05:00,2015-11-02T09:17:09-05:00,23,0.010,31,0
11/2/15,walking,walking,2015-11-02T09:18:37-05:00,2015-11-02T09:24:37-05:00,360,0.336,451,0
11/2/15,walking,walking,2015-11-02T09:24:38-05:00,2015-11-02T09:26:00-05:00,82,0.040,128,0
11/2/15,walking,walking,2015-11-02T09:51:41-05:00,2015-11-02T09:59:19-05:00,458,0.509,683,0
11/2/15,walking,walking,2015-11-02T10:28:52-05:00,2015-11-02T10:30:22-05:00,90,0.049,157,0
11/2/15,walking,walking,2015-11-02T11:30:14-05:00,2015-11-02T11:35:17-05:00,303,0.155,334,0
11/2/15,walking,walking,2015-11-02T12:04:04-05:00,2015-11-02T12:05:34-05:00,90,0.028,84,0
11/2/15,walking,walking,2015-11-02T13:00:06-05:00,2015-11-02T13:04:06-05:00,240,0.152,326,0
11/2/15,walking,walking,2015-11-02T14:23:05-05:00,2015-11-02T14:26:38-05:00,213,0.155,334,0
11/2/15,walking,walking,2015-11-02T15:47:30-05:00,2015-11-02T15:48:00-05:00,30,0.012,40,0
11/3/15,walking,walking,2015-11-03T12:15:16-05:00,2015-11-03T12:15:46-05:00,30,0.012,40,0
11/3/15,walking,walking,2015-11-03T16:35:12-05:00,2015-11-03T16:36:11-05:00,59,0.027,89,0
11/3/15,walking,walking,2015-11-03T17:56:04-05:00,2015-11-03T17:56:37-05:00,33,0.019,61,0
11/3/15,walking,walking,2015-11-03T18:15:17-05:00,2015-11-03T18:21:10-05:00,353,0.327,438,0
11/3/15,walking,walking,2015-11-03T18:21:10-05:00,2015-11-03T18:23:51-05:00,161,0.050,124,0
11/3/15,walking,walking,2015-11-03T18:29:09-05:00,2015-11-03T18:30:09-05:00,60,0.026,84,0
11/3/15,walking,walking,2015-11-03T20:30:50-05:00,2015-11-03T20:34:20-05:00,210,0.155,334,0
11/3/15,walking,walking,2015-11-03T20:38:22-05:00,2015-11-03T20:50:27-05:00,725,0.668,1150,0
11/3/15,walking,walking,2015-11-03T20:50:27-05:00,2015-11-03T20:51:22-05:00,55,0.032,101,0
11/4/15,walking,walking,2015-11-04T08:10:11-05:00,2015-11-04T08:14:11-05:00,240,0.165,354,0
11/4/15,walking,walking,2015-11-04T09:13:12-05:00,2015-11-04T09:16:44-05:00,212,0.245,329,0
11/4/15,walking,walking,2015-11-04T09:16:44-05:00,2015-11-04T09:18:38-05:00,114,0.039,126,0
11/4/15,walking,walking,2015-11-04T09:20:53-05:00,2015-11-04T09:21:42-05:00,49,0.015,0,0
11/4/15,transport,transport,2015-11-04T09:30:43-05:00,2015-11-04T09:47:23-05:00,1000,3.390,0,0
11/4/15,walking,walking,2015-11-04T09:47:23-05:00,2015-11-04T09:54:55-05:00,452,0.560,751,0
11/4/15,walking,walking,2015-11-04T10:14:30-05:00,2015-11-04T10:15:30-05:00,60,0.025,83,0
11/4/15,walking,walking,2015-11-04T12:14:30-05:00,2015-11-04T12:15:00-05:00,30,0.016,50,0
11/4/15,walking,walking,2015-11-04T13:08:20-05:00,2015-11-04T13:11:20-05:00,180,0.142,304,0
11/4/15,walking,walking,2015-11-04T16:11:38-05:00,2015-11-04T16:16:26-05:00,288,0.165,354,0
11/4/15,walking,walking,2015-11-04T17:27:51-05:00,2015-11-04T17:30:51-05:00,180,0.084,152,0
11/4/15,transport,transport,2015-11-04T18:15:32-05:00,2015-11-04T18:37:23-05:00,1311,4.042,0,0
11/4/15,walking,walking,2015-11-04T18:37:23-05:00,2015-11-04T18:42:31-05:00,308,0.204,472,0
11/4/15,walking,walking,2015-11-04T18:50:33-05:00,2015-11-04T18:55:04-05:00,271,0.135,396,0
11/4/15,walking,walking,2015-11-04T18:59:54-05:00,2015-11-04T19:03:36-05:00,222,0.127,275,0
11/4/15,walking,walking,2015-11-04T20:00:00-05:00,2015-11-04T20:02:53-05:00,173,0.081,173,0
11/4/15,walking,walking,2015-11-04T21:28:43-05:00,2015-11-04T21:33:32-05:00,289,0.158,331,0
11/4/15,walking,walking,2015-11-04T21:35:09-05:00,2015-11-04T21:37:39-05:00,150,0.094,202,0
11/4/15,walking,walking,2015-11-04T23:13:25-05:00,2015-11-04T23:13:55-05:00,30,0.009,30,0
