Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/23/15,walking,walking,2015-10-23T10:46:03-04:00,2015-10-23T10:46:48-04:00,45,0.017,56,0
10/23/15,walking,walking,2015-10-23T11:31:08-04:00,2015-10-23T11:32:41-04:00,93,0.040,129,0
10/23/15,walking,walking,2015-10-23T13:51:55-04:00,2015-10-23T14:00:54-04:00,539,0.346,746,0
10/23/15,walking,walking,2015-10-23T14:17:20-04:00,2015-10-23T14:18:20-04:00,60,0.028,90,0
10/23/15,walking,walking,2015-10-23T14:26:19-04:00,2015-10-23T14:34:02-04:00,463,0.265,689,0
10/23/15,walking,walking,2015-10-23T15:57:23-04:00,2015-10-23T15:57:53-04:00,30,0.022,70,0
10/23/15,walking,walking,2015-10-23T17:14:20-04:00,2015-10-23T17:18:50-04:00,270,0.155,332,0
10/23/15,walking,walking,2015-10-23T18:00:36-04:00,2015-10-23T18:02:05-04:00,89,0.037,120,0
10/23/15,walking,walking,2015-10-23T18:26:58-04:00,2015-10-23T18:34:30-04:00,452,0.191,616,0
10/23/15,train,transport,2015-10-23T18:34:30-04:00,2015-10-23T18:38:00-04:00,210,0.745,0,0
10/23/15,walking,walking,2015-10-23T18:38:00-04:00,2015-10-23T18:48:02-04:00,602,0.339,858,0
10/23/15,walking,walking,2015-10-23T18:51:01-04:00,2015-10-23T18:52:01-04:00,60,0.022,70,0
10/23/15,walking,walking,2015-10-23T19:16:02-04:00,2015-10-23T19:17:32-04:00,90,0.037,121,0
10/23/15,walking,walking,2015-10-23T19:31:59-04:00,2015-10-23T19:37:54-04:00,355,0.234,347,0
10/23/15,walking,walking,2015-10-23T19:37:54-04:00,2015-10-23T19:39:01-04:00,67,0.038,122,0
10/23/15,walking,walking,2015-10-23T20:03:10-04:00,2015-10-23T20:07:05-04:00,235,0.130,280,0
10/23/15,walking,walking,2015-10-23T20:18:45-04:00,2015-10-23T20:24:52-04:00,367,0.210,475,0
10/23/15,walking,walking,2015-10-23T20:38:20-04:00,2015-10-23T20:39:50-04:00,90,0.031,100,0
10/23/15,walking,walking,2015-10-23T21:01:21-04:00,2015-10-23T21:13:28-04:00,727,0.485,1042,0
10/23/15,walking,walking,2015-10-23T21:56:54-04:00,2015-10-23T22:07:10-04:00,616,0.350,890,0
10/23/15,walking,walking,2015-10-23T22:11:25-04:00,2015-10-23T22:12:55-04:00,90,0.040,131,0
10/23/15,walking,walking,2015-10-23T22:39:00-04:00,2015-10-23T22:54:04-04:00,904,0.486,1564,0
10/23/15,walking,walking,2015-10-23T22:55:34-04:00,2015-10-23T22:57:04-04:00,90,0.047,151,0
