Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/28/15,walking,walking,2015-10-28T00:02:24-04:00,2015-10-28T00:05:27-04:00,183,0.101,217,0
10/28/15,walking,walking,2015-10-28T01:02:38-04:00,2015-10-28T01:02:46-04:00,8,0.003,10,0
10/28/15,walking,walking,2015-10-28T01:45:10-04:00,2015-10-28T01:55:47-04:00,637,0.493,1261,0
10/28/15,walking,walking,2015-10-28T01:58:42-04:00,2015-10-28T01:59:12-04:00,30,0.016,50,0
10/28/15,walking,walking,2015-10-28T02:00:12-04:00,2015-10-28T02:00:42-04:00,30,0.016,50,0
10/28/15,transport,transport,2015-10-28T02:17:44-04:00,2015-10-28T02:26:49-04:00,545,2.141,0,0
10/28/15,walking,walking,2015-10-28T02:26:49-04:00,2015-10-28T02:31:54-04:00,305,0.241,500,0
10/28/15,walking,walking,2015-10-28T10:40:16-04:00,2015-10-28T10:44:53-04:00,277,0.236,506,0
10/28/15,walking,walking,2015-10-28T11:00:00-04:00,2015-10-28T11:00:33-04:00,33,0.021,65,0
10/28/15,walking,walking,2015-10-28T12:35:02-04:00,2015-10-28T12:37:35-04:00,153,0.134,288,0
10/28/15,walking,walking,2015-10-28T13:05:40-04:00,2015-10-28T13:10:40-04:00,300,0.183,392,0
10/28/15,walking,walking,2015-10-28T14:02:12-04:00,2015-10-28T14:04:12-04:00,120,0.089,191,0
10/28/15,walking,walking,2015-10-28T15:59:46-04:00,2015-10-28T16:02:47-04:00,181,0.083,181,0
10/28/15,walking,walking,2015-10-28T17:28:35-04:00,2015-10-28T17:29:38-04:00,63,0.034,109,0
10/28/15,walking,walking,2015-10-28T18:40:09-04:00,2015-10-28T18:41:39-04:00,90,0.043,141,0
10/28/15,walking,walking,2015-10-28T19:25:42-04:00,2015-10-28T19:34:01-04:00,499,0.399,856,0
10/28/15,walking,walking,2015-10-28T20:05:26-04:00,2015-10-28T20:06:56-04:00,90,0.047,151,0
10/28/15,walking,walking,2015-10-28T21:10:21-04:00,2015-10-28T21:13:24-04:00,183,0.149,318,0
